Gene_Name,mean_RNA_G1,mean_RNA_S,mean_RNA_G2,mean_protein_G1,mean_protein_S,mean_protein_G2,GOBP,GOMF,GOCC
PPP5C,10.41893333,10.67705667,10.56794,25.7581,23.20655,26.10055,"biological regulation;biosynthetic process;cell cycle phase;cell cycle process;cellular biosynthetic process;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular protein metabolic process;dephosphorylation;macromolecule biosynthetic process;macromolecule metabolic process;macromolecule modification;metabolic process;mitosis;nitrogen compound metabolic process;nuclear division;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organelle fission;organelle organization;phosphate-containing compound metabolic process;phosphorus metabolic process;positive regulation of biological process;positive regulation of cell communication;positive regulation of cellular process;positive regulation of I-kappaB kinase/NF-kappaB cascade;positive regulation of intracellular protein kinase cascade;positive regulation of response to stimulus;positive regulation of signal transduction;positive regulation of signaling;primary metabolic process;protein dephosphorylation;protein metabolic process;protein modification process;regulation of biological process;regulation of cell communication;regulation of cellular process;regulation of I-kappaB kinase/NF-kappaB cascade;regulation of intracellular protein kinase cascade;regulation of response to stimulus;regulation of signal transduction;regulation of signaling;RNA biosynthetic process;RNA metabolic process;transcription, DNA-dependent","binding;catalytic activity;cation binding;hydrolase activity;hydrolase activity, acting on ester bonds;identical protein binding;ion binding;metal ion binding;molecular transducer activity;phosphatase activity;phosphoprotein phosphatase activity;phosphoric ester hydrolase activity;protein binding;protein serine/threonine phosphatase activity;signal transducer activity",cell part;cytoplasm;cytoplasmic part;Golgi apparatus;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle
AIMP2,11.77339333,11.65263,11.82547667,27.63162667,25.04036,27.89334,amine metabolic process;amino acid activation;apoptosis;carboxylic acid metabolic process;cell death;cell differentiation;cellular amine metabolic process;cellular amino acid metabolic process;cellular developmental process;cellular ketone metabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;death;developmental process;macromolecule metabolic process;metabolic process;multicellular organismal development;multicellular organismal process;ncRNA metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organic acid metabolic process;oxoacid metabolic process;primary metabolic process;programmed cell death;RNA metabolic process;small molecule metabolic process;tRNA aminoacylation;tRNA aminoacylation for protein translation;tRNA metabolic process,binding;protein binding,cell part;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle
RPL7,13.82612667,13.79733333,13.71641,30.84626667,28.27772667,30.96445,"biosynthetic process;catabolic process;cellular biosynthetic process;cellular catabolic process;cellular component biogenesis;cellular component biogenesis at cellular level;cellular component disassembly;cellular component disassembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex disassembly;cellular macromolecular complex subunit organization;cellular macromolecule biosynthetic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular process involved in reproduction;cellular protein complex disassembly;cellular protein metabolic process;cotranslational protein targeting to membrane;establishment of localization;establishment of localization in cell;establishment of protein localization;establishment of protein localization in endoplasmic reticulum;establishment of protein localization to organelle;intracellular protein transport;intracellular transport;macromolecular complex disassembly;macromolecular complex subunit organization;macromolecule biosynthetic process;macromolecule catabolic process;macromolecule metabolic process;metabolic process;mRNA catabolic process;mRNA metabolic process;ncRNA metabolic process;ncRNA processing;nitrogen compound metabolic process;nuclear-transcribed mRNA catabolic process;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;protein complex disassembly;protein complex subunit organization;protein metabolic process;protein targeting;protein targeting to ER;protein targeting to membrane;protein transport;reproductive process;ribonucleoprotein complex biogenesis;ribosomal large subunit biogenesis;RNA biosynthetic process;RNA catabolic process;RNA metabolic process;RNA processing;rRNA metabolic process;rRNA processing;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;transport;viral transcription",binding;DNA binding;identical protein binding;mRNA binding;nucleic acid binding;protein binding;protein dimerization activity;protein homodimerization activity;RNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytoplasmic part;cytosolic large ribosomal subunit;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;non-membrane-bounded organelle;organelle;organelle part;ribonucleoprotein complex;ribosome
ATP5J,10.47634667,10.40468333,10.37501333,28.78771333,26.73280667,28.61408,"ATP biosynthetic process;ATP catabolic process;ATP metabolic process;ATP synthesis coupled proton transport;biosynthetic process;catabolic process;cation transport;cellular biosynthetic process;cellular catabolic process;cellular metabolic process;cellular nitrogen compound biosynthetic process;cellular nitrogen compound catabolic process;cellular nitrogen compound metabolic process;cellular process;electron transport chain;energy coupled proton transport, down electrochemical gradient;establishment of localization;establishment of localization in cell;generation of precursor metabolites and energy;heterocycle biosynthetic process;heterocycle catabolic process;heterocycle metabolic process;hydrogen transport;intracellular transport;ion transmembrane transport;ion transport;metabolic process;mitochondrial ATP synthesis coupled proton transport;mitochondrial transport;monovalent inorganic cation transport;nitrogen compound metabolic process;nucleobase-containing compound biosynthetic process;nucleobase-containing compound catabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleoside phosphate metabolic process;nucleoside triphosphate biosynthetic process;nucleoside triphosphate catabolic process;nucleoside triphosphate metabolic process;nucleotide biosynthetic process;nucleotide catabolic process;nucleotide metabolic process;oxidation-reduction process;primary metabolic process;proton transport;purine nucleoside triphosphate biosynthetic process;purine nucleoside triphosphate catabolic process;purine nucleoside triphosphate metabolic process;purine nucleotide biosynthetic process;purine nucleotide catabolic process;purine nucleotide metabolic process;purine ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate catabolic process;purine ribonucleoside triphosphate metabolic process;purine ribonucleotide biosynthetic process;purine ribonucleotide catabolic process;purine ribonucleotide metabolic process;purine-containing compound biosynthetic process;purine-containing compound catabolic process;purine-containing compound metabolic process;respiratory electron transport chain;ribonucleoside triphosphate biosynthetic process;ribonucleoside triphosphate catabolic process;ribonucleoside triphosphate metabolic process;ribonucleotide biosynthetic process;ribonucleotide catabolic process;ribonucleotide metabolic process;small molecule metabolic process;transmembrane transport;transport",cation transmembrane transporter activity;hydrogen ion transmembrane transporter activity;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity,"cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial proton-transporting ATP synthase complex, coupling factor F(o);organelle part;protein complex;proton-transporting ATP synthase complex, coupling factor F(o);proton-transporting two-sector ATPase complex, proton-transporting domain"
RPL23A,13.89050333,13.81578333,13.81141333,31.02659667,28.26263667,31.05612,"biosynthetic process;catabolic process;cell proliferation;cellular biosynthetic process;cellular catabolic process;cellular component disassembly;cellular component disassembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex disassembly;cellular macromolecular complex subunit organization;cellular macromolecule biosynthetic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular process involved in reproduction;cellular protein complex disassembly;cellular protein metabolic process;cotranslational protein targeting to membrane;establishment of localization;establishment of localization in cell;establishment of protein localization;establishment of protein localization in endoplasmic reticulum;establishment of protein localization to organelle;intracellular protein transport;intracellular transport;macromolecular complex disassembly;macromolecular complex subunit organization;macromolecule biosynthetic process;macromolecule catabolic process;macromolecule metabolic process;metabolic process;mRNA catabolic process;mRNA metabolic process;nitrogen compound metabolic process;nuclear-transcribed mRNA catabolic process;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;protein complex disassembly;protein complex subunit organization;protein metabolic process;protein targeting;protein targeting to ER;protein targeting to membrane;protein transport;reproductive process;RNA biosynthetic process;RNA catabolic process;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;transport;viral transcription",binding;nucleic acid binding;nucleotide binding;protein binding;RNA binding;rRNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytoplasmic part;cytosolic large ribosomal subunit;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;membrane-bounded organelle;non-membrane-bounded organelle;nucleus;organelle;organelle part;ribonucleoprotein complex;ribosome
DLG1,11.47079,11.27411333,11.49431333,23.70101333,21.73921333,23.69599333,actin cytoskeleton organization;actin filament organization;actin filament-based process;alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate receptor clustering;anatomical structure morphogenesis;axon guidance;behavior;biological adhesion;biological regulation;cell adhesion;cell communication;cell cycle checkpoint;cell junction assembly;cell junction organization;cell part morphogenesis;cell proliferation;cell-cell adhesion;cell-cell junction assembly;cell-cell junction organization;cell-cell signaling;cellular component assembly;cellular component assembly at cellular level;cellular component morphogenesis;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular developmental process;cellular localization;cellular macromolecule localization;cellular membrane organization;cellular process;cellular protein localization;cellular response to stimulus;chemotaxis;cognition;cortical actin cytoskeleton organization;cortical cytoskeleton organization;cytoskeleton organization;dendritic spine morphogenesis;dendritic spine organization;developmental process;endothelial cell proliferation;epithelial cell proliferation;establishment of localization;establishment of protein localization;establishment or maintenance of cell polarity;G1/S transition checkpoint;interspecies interaction between organisms;learning;learning or memory;localization;locomotion;macromolecular complex assembly;macromolecular complex subunit organization;macromolecule localization;membrane organization;mitotic cell cycle checkpoint;mitotic cell cycle G1/S transition checkpoint;multicellular organismal process;multi-organism process;negative regulation of biological process;negative regulation of cell cycle;negative regulation of cellular process;negative regulation of mitotic cell cycle;neurological system process;neurotransmitter-gated ion channel clustering;organelle organization;plasma membrane organization;protein complex assembly;protein complex subunit organization;protein localization;protein localization in membrane;protein localization in plasma membrane;protein localization to synapse;receptor clustering;receptor localization to synapse;regulation of biological process;regulation of cell cycle;regulation of cell cycle arrest;regulation of cell cycle process;regulation of cellular process;regulation of G1/S transition of mitotic cell cycle;regulation of interphase of mitotic cell cycle;regulation of mitotic cell cycle;response to chemical stimulus;response to external stimulus;response to stimulus;signal transduction;signaling;synaptic transmission;system process;taxis;tight junction assembly,"binding;catalytic activity;channel regulator activity;cytoskeletal protein binding;enzyme binding;guanylate kinase activity;hydrolase activity;hydrolase activity, acting on ester bonds;kinase activity;kinase binding;L27 domain binding;nucleobase-containing compound kinase activity;nucleotide kinase activity;phosphatase activity;phosphatase binding;phosphoprotein phosphatase activity;phosphoric ester hydrolase activity;phosphotransferase activity, phosphate group as acceptor;potassium channel regulator activity;protein binding;protein C-terminus binding;protein domain specific binding;protein kinase binding;scaffold protein binding;transferase activity;transferase activity, transferring phosphorus-containing groups",basolateral plasma membrane;cell cortex part;cell fraction;cell junction;cell part;cell projection cytoplasm;cell projection part;cell-cell junction;cortical cytoskeleton;cytoplasmic part;cytoplasmic vesicle membrane;cytoplasmic vesicle part;cytoskeletal part;cytoskeleton;cytosol;dendrite cytoplasm;endocytic vesicle membrane;endoplasmic reticulum membrane;endoplasmic reticulum part;excitatory synapse;immunological synapse;insoluble fraction;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane fraction;membrane part;membrane-bounded organelle;MPP7-DLG1-LIN7 complex;non-membrane-bounded organelle;nucleus;occluding junction;organelle;organelle membrane;organelle part;plasma membrane;plasma membrane part;postsynaptic density;postsynaptic membrane;protein complex;sarcolemma;synapse;synapse part;synaptic membrane;synaptosome;tight junction;vesicle membrane
PDXK,9.698232667,9.641621667,9.923830333,26.97663667,24.23291,26.99794333,biosynthetic process;cell proliferation;cellular biosynthetic process;cellular metabolic compound salvage;cellular metabolic process;cellular process;coenzyme biosynthetic process;coenzyme metabolic process;cofactor biosynthetic process;cofactor metabolic process;heterocycle metabolic process;metabolic process;pyridoxal 5'-phosphate salvage;pyridoxal phosphate biosynthetic process;pyridoxal phosphate metabolic process;small molecule biosynthetic process;small molecule metabolic process;vitamin B6 biosynthetic process;vitamin B6 metabolic process;vitamin biosynthetic process;vitamin metabolic process;water-soluble vitamin biosynthetic process;water-soluble vitamin metabolic process,"adenyl nucleotide binding;adenyl ribonucleotide binding;alkali metal ion binding;ATP binding;binding;catalytic activity;cation binding;cofactor binding;identical protein binding;ion binding;kinase activity;lithium ion binding;magnesium ion binding;metal ion binding;nucleotide binding;phosphotransferase activity, alcohol group as acceptor;potassium ion binding;protein binding;protein dimerization activity;protein homodimerization activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyridoxal kinase activity;pyridoxal phosphate binding;ribonucleotide binding;sodium ion binding;transferase activity;transferase activity, transferring phosphorus-containing groups;transition metal ion binding;vitamin B6 binding;vitamin binding;zinc ion binding",cell part;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle
PPAN,8.885427667,9.162043667,9.186873667,23.97552667,21.80630667,24.06263333,activation of adenylate cyclase activity;activation of phospholipase C activity;activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger;biological regulation;calcium-mediated signaling;cell surface receptor linked signaling pathway;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to ATP;cellular response to chemical stimulus;cellular response to organic substance;cellular response to stimulus;defense response;G-protein coupled receptor protein signaling pathway;inositol phosphate-mediated signaling;intracellular signal transduction;macromolecule metabolic process;metabolic process;neuronal signal transduction;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;positive regulation of adenylate cyclase activity;positive regulation of catalytic activity;positive regulation of cyclase activity;positive regulation of hydrolase activity;positive regulation of lipase activity;positive regulation of lyase activity;positive regulation of molecular function;positive regulation of phospholipase activity;positive regulation of phospholipase C activity;primary metabolic process;regulation of adenylate cyclase activity;regulation of biological process;regulation of biosynthetic process;regulation of cAMP biosynthetic process;regulation of cAMP metabolic process;regulation of catalytic activity;regulation of cellular biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cyclase activity;regulation of cyclic nucleotide biosynthetic process;regulation of cyclic nucleotide metabolic process;regulation of hydrolase activity;regulation of lipase activity;regulation of lyase activity;regulation of metabolic process;regulation of molecular function;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of nucleotide biosynthetic process;regulation of nucleotide metabolic process;regulation of phospholipase activity;regulation of primary metabolic process;response to ATP;response to chemical stimulus;response to organic substance;response to stimulus;response to stress;RNA metabolic process;RNA processing;RNA splicing;second-messenger-mediated signaling;signal transduction,"adenosine receptor activity, G-protein coupled;ATP-activated nucleotide receptor activity;binding;G-protein coupled receptor activity;molecular transducer activity;neurotransmitter binding;neurotransmitter receptor activity;nucleotide receptor activity;nucleotide receptor activity, G-protein coupled;purinergic nucleotide receptor activity;purinergic nucleotide receptor activity, G-protein coupled;purinergic receptor activity;receptor activity;signal transducer activity;signaling receptor activity;transmembrane signaling receptor activity",cell part;cytoplasm;integral to membrane;integral to plasma membrane;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;intrinsic to membrane;intrinsic to plasma membrane;membrane part;membrane-bounded organelle;non-membrane-bounded organelle;nuclear part;nucleolus;nucleus;organelle;organelle part;plasma membrane part
ATF7IP,11.23399667,10.63302,11.92040667,20.72713333,17.83675,21.21836333,"biological regulation;biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;DNA alkylation;DNA metabolic process;DNA methylation;DNA modification;interspecies interaction between organisms;macromolecule biosynthetic process;macromolecule metabolic process;macromolecule methylation;macromolecule modification;metabolic process;methylation;multi-organism process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;one-carbon metabolic process;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of gene expression;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of RNA metabolic process;positive regulation of transcription, DNA-dependent;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular component biogenesis;regulation of cellular component organization;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of gene expression, epigenetic;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of protein complex assembly;regulation of RNA metabolic process;regulation of RNA polymerase II transcriptional preinitiation complex assembly;regulation of transcription from RNA polymerase II promoter;regulation of transcription initiation from RNA polymerase II promoter;regulation of transcription initiation, DNA-dependent;regulation of transcription, DNA-dependent;RNA biosynthetic process;RNA metabolic process;small molecule metabolic process;transcription, DNA-dependent",binding;protein binding,
CASP3,10.27240333,10.24096,10.17842,23.40954667,19.779,23.53625667,"activation of caspase activity;activation of caspase activity by cytochrome c;apoptosis;biological regulation;catabolic process;cell death;cell surface receptor linked signaling pathway;cellular catabolic process;cellular component organization;cellular component organization or biogenesis;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to stimulus;death;DNA catabolic process;DNA catabolic process, endonucleolytic;DNA fragmentation involved in apoptotic nuclear change;DNA metabolic process;enzyme linked receptor protein signaling pathway;macromolecule catabolic process;macromolecule metabolic process;membrane organization;metabolic process;negative regulation of apoptosis;negative regulation of biological process;negative regulation of cell death;negative regulation of cellular process;negative regulation of programmed cell death;nerve growth factor receptor signaling pathway;nitrogen compound metabolic process;nuclear fragmentation involved in apoptotic nuclear change;nuclear membrane organization;nucleic acid metabolic process;nucleic acid phosphodiester bond hydrolysis;nucleobase-containing compound metabolic process;positive regulation of caspase activity;positive regulation of catalytic activity;positive regulation of hydrolase activity;positive regulation of molecular function;positive regulation of peptidase activity;primary metabolic process;programmed cell death;protein metabolic process;proteolysis;regulation of apoptosis;regulation of biological process;regulation of catalytic activity;regulation of cell death;regulation of cellular process;regulation of cysteine-type endopeptidase activity;regulation of cysteine-type endopeptidase activity involved in apoptotic process;regulation of endopeptidase activity;regulation of hydrolase activity;regulation of metabolic process;regulation of molecular function;regulation of peptidase activity;regulation of programmed cell death;response to chemical stimulus;response to cytokine stimulus;response to organic substance;response to stimulus;response to tumor necrosis factor;signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway","binding;catalytic activity;cysteine-type endopeptidase activity;cysteine-type peptidase activity;endopeptidase activity;hydrolase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides;protein binding",cell part;cytoplasm;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;mitochondrion;nuclear part;nucleoplasm;nucleus;organelle;organelle part;plasma membrane
CARS,9.313774,9.621582667,9.452962,25.49657333,22.78178,26.33886667,amine metabolic process;amino acid activation;carboxylic acid metabolic process;cellular amine metabolic process;cellular amino acid metabolic process;cellular ketone metabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cysteinyl-tRNA aminoacylation;macromolecule metabolic process;metabolic process;ncRNA metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organic acid metabolic process;oxoacid metabolic process;primary metabolic process;RNA metabolic process;small molecule metabolic process;tRNA aminoacylation;tRNA aminoacylation for protein translation;tRNA metabolic process,"adenyl nucleotide binding;adenyl ribonucleotide binding;aminoacyl-tRNA ligase activity;ATP binding;binding;catalytic activity;cation binding;cysteine-tRNA ligase activity;identical protein binding;ion binding;ligase activity;ligase activity, forming aminoacyl-tRNA and related compounds;ligase activity, forming carbon-oxygen bonds;metal ion binding;nucleic acid binding;nucleotide binding;protein binding;protein dimerization activity;protein homodimerization activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;RNA binding;tRNA binding",cell part;cytoplasm;cytoplasmic part;cytosol;intracellular part
MRPL23,10.15807,10.16092,10.04510533,25.66463333,23.45335333,25.96774333,biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,binding;nucleic acid binding;nucleotide binding;RNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytoplasmic part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;mitochondrial large ribosomal subunit;mitochondrial part;non-membrane-bounded organelle;organellar large ribosomal subunit;organelle;organelle part;ribonucleoprotein complex;ribosome
BICD1,9.410185333,8.950631333,9.314127333,22.30611,19.77695,,anatomical structure morphogenesis;biological regulation;cellular component assembly;cellular component assembly at cellular level;cellular component movement;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular localization;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular macromolecule localization;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular protein localization;cytoskeleton organization;cytoskeleton-dependent intracellular transport;developmental process;establishment of localization;establishment of localization in cell;intracellular mRNA localization;intracellular transport;localization;macromolecular complex assembly;macromolecular complex subunit organization;macromolecule localization;macromolecule metabolic process;maintenance of location;maintenance of location in cell;maintenance of protein location;maintenance of protein location in cell;metabolic process;microtubule anchoring;microtubule anchoring at microtubule organizing center;microtubule cytoskeleton organization;microtubule-based movement;microtubule-based process;microtubule-based transport;minus-end-directed organelle transport along microtubule;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organelle organization;organelle transport along microtubule;positive regulation of biological process;positive regulation of cellular component organization;positive regulation of cellular process;positive regulation of endocytosis;positive regulation of receptor-mediated endocytosis;positive regulation of transport;primary metabolic process;protein localization;protein localization to organelle;regulation of biological process;regulation of biological quality;regulation of cellular component organization;regulation of cellular process;regulation of endocytosis;regulation of localization;regulation of receptor-mediated endocytosis;regulation of transport;regulation of vesicle-mediated transport;ribonucleoprotein complex assembly;ribonucleoprotein complex subunit organization;RNA localization;RNA metabolic process;RNA processing;stress granule assembly;transport;viral reproduction,"binding;binding, bridging;cytoskeletal adaptor activity;cytoskeletal protein binding;dynactin binding;dynein binding;enzyme binding;G-protein-coupled receptor binding;GTPase binding;protein binding;protein binding, bridging;proteinase activated receptor binding;Rab GTPase binding;Ras GTPase binding;receptor binding;small GTPase binding;structural constituent of cytoskeleton;structural molecule activity",cell part;cytoplasmic part;cytoplasmic vesicle;cytoskeleton;cytosol;extracellular region part;Golgi apparatus;Golgi apparatus part;host cell cytoplasm part;host cell part;host cell viral assembly compartment;host intracellular membrane-bounded organelle;host intracellular organelle;host intracellular part;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;non-membrane-bounded organelle;organelle;organelle part;other organism part;perinuclear region of cytoplasm;trans-Golgi network;vesicle
ALDOC,9.276085667,9.208057333,9.223023,27.61078,24.53756333,27.74202667,"alcohol biosynthetic process;alcohol catabolic process;alcohol metabolic process;biological regulation;biosynthetic process;carbohydrate biosynthetic process;carbohydrate catabolic process;carbohydrate metabolic process;catabolic process;cellular biosynthetic process;cellular carbohydrate biosynthetic process;cellular carbohydrate catabolic process;cellular carbohydrate metabolic process;cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular protein complex assembly;coenzyme metabolic process;cofactor metabolic process;fructose 1,6-bisphosphate metabolic process;fructose catabolic process;fructose metabolic process;generation of precursor metabolites and energy;gluconeogenesis;glucose catabolic process;glucose metabolic process;glycolysis;heterocycle metabolic process;hexose biosynthetic process;hexose catabolic process;hexose metabolic process;macromolecular complex assembly;macromolecular complex subunit organization;metabolic process;monosaccharide biosynthetic process;monosaccharide catabolic process;monosaccharide metabolic process;NAD metabolic process;NADH metabolic process;NADH oxidation;nicotinamide nucleotide metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleoside phosphate metabolic process;nucleotide metabolic process;oxidation-reduction process;oxidoreduction coenzyme metabolic process;positive regulation of ATPase activity;positive regulation of catalytic activity;positive regulation of hydrolase activity;positive regulation of molecular function;primary metabolic process;protein complex assembly;protein complex subunit organization;proton-transporting two-sector ATPase complex assembly;proton-transporting V-type ATPase complex assembly;pyridine nucleotide metabolic process;pyridine-containing compound metabolic process;regulation of ATPase activity;regulation of biological process;regulation of catabolic process;regulation of catalytic activity;regulation of cellular catabolic process;regulation of cellular metabolic process;regulation of cellular process;regulation of hydrolase activity;regulation of metabolic process;regulation of molecular function;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of nucleotide catabolic process;regulation of nucleotide metabolic process;regulation of primary metabolic process;regulation of purine nucleotide catabolic process;small molecule biosynthetic process;small molecule catabolic process;small molecule metabolic process;vacuolar proton-transporting V-type ATPase complex assembly",aldehyde-lyase activity;ATPase binding;binding;carbohydrate binding;carbon-carbon lyase activity;catalytic activity;cytoskeletal protein binding;enzyme binding;fructose binding;fructose-bisphosphate aldolase activity;identical protein binding;lyase activity;monosaccharide binding;protein binding;sugar binding,cell part;centriolar satellite;cytoplasmic part;cytoskeletal part;cytoskeleton;cytosol;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;microtubule organizing center part;non-membrane-bounded organelle;organelle;organelle part;vacuole
LDHA,14.08414667,14.0102,14.01247,33.24368667,30.37787333,33.23515333,alcohol catabolic process;alcohol metabolic process;carbohydrate catabolic process;carbohydrate metabolic process;carboxylic acid metabolic process;catabolic process;cellular carbohydrate catabolic process;cellular carbohydrate metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular process;generation of precursor metabolites and energy;glucose catabolic process;glucose metabolic process;glycolysis;hexose catabolic process;hexose metabolic process;metabolic process;monocarboxylic acid metabolic process;monosaccharide catabolic process;monosaccharide metabolic process;organic acid metabolic process;oxoacid metabolic process;primary metabolic process;pyruvate metabolic process;small molecule catabolic process;small molecule metabolic process,"binding;catalytic activity;lactate dehydrogenase activity;L-lactate dehydrogenase activity;nucleotide binding;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",cell part;cytoplasm;cytoplasmic part;cytosol;intracellular part
